tee_id,course_id,facility_id,course_name,tee_name,tee_color,course_par_for_tee,rating,slope,hole1,hole2,hole3,hole4,hole5,hole6,hole7,hole8,hole9,hole10,hole11,hole12,hole13,hole14,hole15,hole16,hole17,hole18,total_distance,hole1_par,hole2_par,hole3_par,hole4_par,hole5_par,hole6_par,hole7_par,hole8_par,hole9_par,hole10_par,hole11_par,hole12_par,hole13_par,hole14_par,hole15_par,hole16_par,hole17_par,hole18_par,hole1_handicap,hole2_handicap,hole3_handicap,hole4_handicap,hole5_handicap,hole6_handicap,hole7_handicap,hole8_handicap,hole9_handicap,hole10_handicap,hole11_handicap,hole12_handicap,hole13_handicap,hole14_handicap,hole15_handicap,hole16_handicap,hole17_handicap,hole18_handicap
GBR-ESS-0067-04-02,GBR-ESS-0067-04,Langdon Hills Golf Club,Bulphan/Horndon,White,White,73,71.7,123,511,404,553,317,162,412,504,165,454,336,325,159,468,358,339,494,195,318,6474,5,4,5,4,3,4,5,3,4,4,4,3,5,4,4,5,3,4,18,2,10,14,4,8,12,16,6,9,17,15,7,3,13,1,5,11
GBR-ESS-0067-04-03,GBR-ESS-0067-04,Langdon Hills Golf Club,Bulphan/Horndon,Yellow,Yellow,73,70.9,120,491,400,495,310,144,394,495,141,396,307,309,140,455,340,324,478,177,305,6101,5,4,5,4,3,4,5,3,4,4,4,3,5,4,4,5,3,4,18,2,10,14,4,8,12,16,6,9,17,15,7,3,13,1,5,11
GBR-ESS-0067-04-04,GBR-ESS-0067-04,Langdon Hills Golf Club,Bulphan/Horndon,Red (L),Red,74,71.7,119,475,387,475,292,120,341,480,140,396,300,290,124,416,317,296,417,156,274,5696,5,4,5,4,3,4,5,3,5,4,4,3,5,4,4,5,3,4,18,2,10,8,12,4,6,14,16,7,17,11,9,1,15,3,13,5
GBR-ESS-0067-05-01,GBR-ESS-0067-05,Langdon Hills Golf Club,Horndon/Langdon,Blue,Blue,71,N/D,N/D,355,357,234,468,405,339,533,195,340,369,417,340,407,194,562,380,182,361,6438,4,4,3,5,4,4,5,3,4,4,4,4,4,3,5,4,3,4,9,17,15,7,3,13,1,5,11,16,4,14,8,18,12,2,10,6
GBR-ESS-0067-05-02,GBR-ESS-0067-05,Langdon Hills Golf Club,Horndon/Langdon,White,White,71,69,117,336,325,159,468,358,339,494,195,318,369,417,340,407,173,482,380,182,350,6092,4,4,3,5,4,4,5,3,4,4,4,4,4,3,5,4,3,4,9,17,15,7,3,13,1,5,11,16,4,14,8,18,12,2,10,6
GBR-ESS-0067-05-03,GBR-ESS-0067-05,Langdon Hills Golf Club,Horndon/Langdon,Yellow,Yellow,71,68.2,115,307,309,140,455,340,324,478,177,305,349,393,333,375,173,469,359,174,325,5785,4,4,3,5,4,4,5,3,4,4,4,4,4,3,5,4,3,4,9,17,15,7,3,13,1,5,11,16,4,14,8,18,12,2,10,6
GBR-ESS-0067-05-04,GBR-ESS-0067-05,Langdon Hills Golf Club,Horndon/Langdon,Red (L),Red,72,69.7,112,300,290,124,416,317,296,417,156,274,342,398,319,339,136,431,353,152,297,5357,4,4,3,5,4,4,5,3,4,4,5,4,4,3,5,4,3,4,7,17,11,9,1,15,3,13,5,10,16,8,4,18,6,2,14,12
GBR-ESS-0067-06-01,GBR-ESS-0067-06,Langdon Hills Golf Club,Langdon/Bulphan,Blue,Blue,72,N/D,N/D,369,417,340,407,194,562,380,182,361,511,472,553,317,162,445,504,194,454,6824,4,4,4,4,3,5,4,3,4,5,4,5,4,3,4,5,3,4,16,4,14,8,18,12,2,10,6,17,1,9,13,3,7,11,15,5
GBR-ESS-0067-06-02,GBR-ESS-0067-06,Langdon Hills Golf Club,Langdon/Bulphan,White,White,72,71.7,128,369,417,340,407,173,482,380,182,350,511,404,553,317,162,412,504,165,454,6582,4,4,4,4,3,5,4,3,4,5,4,5,4,3,4,5,3,4,16,4,14,8,18,12,2,10,6,17,1,9,13,3,7,11,15,5
GBR-ESS-0067-06-03,GBR-ESS-0067-06,Langdon Hills Golf Club,Langdon/Bulphan,Yellow,Yellow,72,70.1,123,349,393,333,375,173,469,359,174,325,491,400,495,310,144,394,495,141,396,6216,4,4,4,4,3,5,4,3,4,5,4,5,4,3,4,5,3,4,16,4,14,8,18,12,2,10,6,17,1,9,13,3,7,11,15,5
GBR-ESS-0067-06-04,GBR-ESS-0067-06,Langdon Hills Golf Club,Langdon/Bulphan,Red (L),Red,74,74,128,342,398,319,339,136,431,353,152,297,475,387,475,292,120,341,480,140,396,5873,4,5,4,4,3,5,4,3,4,5,4,5,4,3,4,5,3,5,10,16,8,4,18,6,2,14,12,17,1,9,7,11,3,5,13,15
GBR-CMA-0034-01-01,GBR-CMA-0034-01,Windermere Golf Club,Windermere,White,White,67,66.1,118,310,225,249,380,316,355,372,159,270,199,263,363,317,143,186,459,355,201,5122,4,3,4,4,4,4,4,3,4,3,4,4,4,3,3,5,4,3,12,4,17,1,14,9,3,8,18,7,16,5,15,13,6,11,2,10
GBR-CMA-0034-01-02,GBR-CMA-0034-01,Windermere Golf Club,Windermere,Yellow,Yellow,67,65,115,303,211,238,354,304,344,366,148,259,194,211,353,313,130,175,445,343,195,4886,4,3,4,4,4,4,4,3,4,3,4,4,4,3,3,5,4,3,12,4,17,1,14,9,3,8,18,7,16,5,15,13,6,11,2,10
GBR-CMA-0034-01-03,GBR-CMA-0034-01,Windermere Golf Club,Windermere,Red (L),Red,70,67.6,121,299,204,233,343,296,331,352,130,242,172,204,298,283,124,152,434,299,152,4548,4,4,4,5,4,4,5,3,4,3,4,4,4,3,3,5,4,3,5,17,15,9,3,1,7,13,11,4,14,8,10,18,16,6,2,12
GBR-BDF-0027-01-01,GBR-BDF-0027-01,The Millbrook Golf Club,The Millbrook,Blue,Blue,72,74.3,133,452,592,459,239,441,426,174,589,308,188,321,457,425,372,531,164,354,432,6924,5,5,4,3,4,4,3,5,4,3,4,4,4,4,5,3,4,4,17,11,5,1,7,3,15,9,13,10,8,2,4,16,14,18,12,6
GBR-BDF-0027-01-02,GBR-BDF-0027-01,The Millbrook Golf Club,The Millbrook,White,White,74,73.3,135,449,572,450,280,417,381,170,577,286,188,312,467,409,366,514,157,330,421,6746,5,5,4,4,4,4,3,5,4,3,4,5,4,4,5,3,4,4,9,7,1,17,13,3,15,5,11,12,4,16,2,8,14,18,6,10
GBR-BDF-0027-01-03,GBR-BDF-0027-01,The Millbrook Golf Club,The Millbrook,Yellow,Yellow,74,71,132,428,552,415,261,378,349,166,555,267,119,286,446,373,342,500,148,321,384,6290,5,5,4,4,4,4,3,5,4,3,4,5,4,4,5,3,4,4,9,7,1,17,13,3,15,5,11,12,4,16,2,8,14,18,6,10
GBR-BDF-0027-01-04,GBR-BDF-0027-01,The Millbrook Golf Club,The Millbrook,Red (L),Red,74,74.1,131,399,491,402,224,357,323,166,498,199,109,164,347,384,348,475,146,314,393,5739,5,5,5,4,4,4,3,5,4,3,3,4,4,4,5,3,4,5,10,4,16,8,14,2,12,6,18,17,11,5,1,13,7,15,3,9
GBR-BDF-0017-01-01,GBR-BDF-0017-01,John O'Gaunt Golf Club,John O'Gaunt,White,White,71,72.1,130,283,416,369,173,444,466,331,381,504,190,362,338,452,354,427,157,479,409,6535,4,4,4,3,4,4,4,4,5,3,4,4,4,4,4,3,5,4,17,5,9,15,3,1,7,13,11,8,12,16,2,10,4,18,14,6
GBR-BDF-0017-01-02,GBR-BDF-0017-01,John O'Gaunt Golf Club,John O'Gaunt,White (L),White,77,78.1,144,283,416,369,173,444,466,331,381,504,190,362,338,452,354,427,157,479,409,6535,4,5,4,3,5,5,4,4,5,3,4,4,5,4,5,3,5,5,17,5,9,15,3,1,7,13,11,8,12,16,2,10,4,18,14,6
GBR-BDF-0017-01-03,GBR-BDF-0017-01,John O'Gaunt Golf Club,John O'Gaunt,Yellow,Yellow,71,70.9,127,276,388,360,164,429,454,322,372,492,180,351,328,442,341,420,146,471,395,6331,4,4,4,3,4,4,4,4,5,3,4,4,4,4,4,3,5,4,17,5,9,15,3,1,7,13,11,8,12,16,2,10,4,18,14,6
